condition_id,parameter,factor,previous_low,previous_high,tested_midpoint,safe_count,n_present,decision,updated_low,updated_high,updated_width
mass_minus10,mass,0.90,0.425000,0.450000,0.437500,0,5,midpoint_majority_unsafe,0.437500,0.450000,0.012500
mass_plus10,mass,1.10,0.525000,0.550000,0.537500,0,5,midpoint_majority_unsafe,0.537500,0.550000,0.012500
thrust_coefficient_minus10,thrust_coefficient,0.90,0.550000,0.575000,0.562500,5,5,midpoint_majority_safe,0.550000,0.562500,0.012500
thrust_coefficient_plus10,thrust_coefficient,1.10,0.450000,0.475000,0.462500,5,5,midpoint_majority_safe,0.450000,0.462500,0.012500
motor_time_constant_minus10,motor_time_constant,0.90,0.475000,0.500000,0.487500,0,5,midpoint_majority_unsafe,0.487500,0.500000,0.012500
motor_time_constant_plus10,motor_time_constant,1.10,0.475000,0.500000,0.487500,0,5,midpoint_majority_unsafe,0.487500,0.500000,0.012500
thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,0.475000,0.500000,0.487500,0,5,midpoint_majority_unsafe,0.487500,0.500000,0.012500
thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,0.475000,0.500000,0.487500,0,5,midpoint_majority_unsafe,0.487500,0.500000,0.012500
arm_length_minus10,arm_length,0.90,0.475000,0.500000,0.487500,0,5,midpoint_majority_unsafe,0.487500,0.500000,0.012500
arm_length_plus10,arm_length,1.10,0.475000,0.500000,0.487500,0,5,midpoint_majority_unsafe,0.487500,0.500000,0.012500
