eta,n,safe_count,observed_safe_rate,wilson95_lower,wilson95_upper,logistic_predicted_probability,observed_minus_predicted
0.49520,30,0,0.0,0.0,0.11351339317396876,0.006672831603127761,-0.006672831603127761
0.49530,30,0,0.0,0.0,0.11351339317396876,0.024884050486563218,-0.024884050486563218
0.49540,30,3,0.1,0.03459988874733419,0.25621082579184085,0.08837473587536088,0.011625264124639129
0.49550,30,10,0.3333333333333333,0.19230498083676134,0.5121994835545616,0.2691466511141383,0.06418668221919499
0.49560,30,18,0.6,0.42320360253322475,0.7540937188319815,0.5831529260652455,0.016847073934754486
0.49570,30,22,0.7333333333333333,0.555520383048111,0.8581733668040368,0.8416313423073714,-0.10829800897403807
0.49580,30,30,1.0,0.8864866068260312,0.9999999999999999,0.9528041292148597,0.047195870785140315
