controller,motor,eta,n_expected,n_present,valid_prefault_count,valid_prefault_rate,contact_count,safe_count,safe_rate,wilson95_lower,wilson95_upper,vertical_fail,horizontal_fail,tilt_fail,angular_fail,drift_fail,mean_vertical_speed_mps,min_vertical_speed_mps,max_vertical_speed_mps,mean_angular_rate_radps,max_angular_rate_radps
pinv,2,0.49520,30,30,30,1.0,30,0,0.0,0.0,0.11351339317396876,30,0,0,0,0,0.3672120273113251,0.3571488559246063,0.3778281509876251,0.3397818007543577,0.3526200851220303
pinv,2,0.49530,30,30,30,1.0,30,0,0.0,0.0,0.11351339317396876,30,0,0,0,0,0.361477060119311,0.3509770929813385,0.37350767850875854,0.33318700868707624,0.3458381553395845
pinv,2,0.49540,30,30,30,1.0,30,3,0.1,0.03459988874733419,0.25621082579184085,27,0,0,0,0,0.35688889026641846,0.3484244644641876,0.3647807240486145,0.3290782750705118,0.3396550922168647
pinv,2,0.49550,30,30,30,1.0,30,10,0.3333333333333333,0.19230498083676134,0.5121994835545616,20,0,0,0,0,0.3521238515774409,0.33840107917785645,0.3616248667240143,0.3231543334524147,0.3334419054527318
pinv,2,0.49560,30,30,30,1.0,30,18,0.6,0.42320360253322475,0.7540937188319815,12,0,0,0,0,0.34766062994798025,0.3260999619960785,0.36599016189575195,0.3172356296422964,0.333375799181426
pinv,2,0.49570,30,30,30,1.0,30,22,0.7333333333333333,0.555520383048111,0.8581733668040368,8,0,0,0,0,0.3462316423654556,0.33393383026123047,0.3579760789871216,0.3165453987307548,0.32707124793447695
pinv,2,0.49580,30,30,30,1.0,30,30,1.0,0.8864866068260312,0.9999999999999999,0,0,0,0,0,0.3398352493842443,0.3300212621688843,0.34870922565460205,0.30966312744149505,0.32086244946284126
