eta,predicted_safe_probability
0.49515,0.0034347892261371144
0.49515099999999995,0.003480779551616867
0.495152,0.0035273834878276084
0.49515299999999995,0.0035746091629106106
0.495154,0.0036224648111028864
0.49515499999999996,0.003670958774058022
0.495156,0.00372009950222508
0.49515699999999996,0.0037698955562006633
0.495158,0.003820355608140458
0.49515899999999996,0.0038714884431431213
0.49516,0.0039233029606951
0.49516099999999996,0.003975808176086944
0.495162,0.004029013221892064
0.49516299999999996,0.004082927349416081
0.495164,0.004137559930210134
0.49516499999999997,0.004192920457553885
0.495166,0.004249018548004066
0.49516699999999997,0.004305863942911714
0.495168,0.0043634665100066175
0.49516899999999997,0.004421836244949405
0.49517,0.004480983272952509
0.495171,0.004540917850367764
0.495172,0.004601650366344552
0.495173,0.004663191344453482
0.495174,0.004725551444382365
0.495175,0.004788741463596635
0.495176,0.004852772339073797
0.495177,0.0049176551490011785
0.495178,0.004983401114549491
0.495179,0.005050021601608551
0.49517999999999995,0.005117528122596849
0.495181,0.00518593233825466
0.49518199999999996,0.00525524605945621
0.495183,0.005325481249080185
0.49518399999999996,0.005396650023842964
0.495185,0.005468764656214198
0.49518599999999996,0.005541837576290053
0.495187,0.005615881373750802
0.49518799999999996,0.005690908799774702
0.495189,0.005766932769038214
0.49518999999999996,0.005843966361671061
0.495191,0.005922022825299668
0.49519199999999997,0.006001115577044015
0.495193,0.0060812582056048985
0.49519399999999997,0.006162464473303069
0.495195,0.006244748318210919
0.49519599999999997,0.006328123856234479
0.495197,0.006412605383290096
0.49519799999999997,0.0064982073774297565
0.495199,0.006584944501063332
0.4952,0.006672831603127761
0.495201,0.006761883721355363
0.495202,0.0068521160844873825
0.495203,0.006943544114588869
0.495204,0.007036183429306999
0.495205,0.007130049844233119
0.495206,0.007225159375206206
0.495207,0.007321528240722507
0.495208,0.0074191728642846125
0.49520899999999995,0.007518109876853598
0.49521,0.007618356119271686
0.49521099999999996,0.007719928644707382
0.495212,0.007822844721180503
0.49521299999999996,0.007927121834026827
0.495214,0.00803277768847752
0.49521499999999996,0.008139830212170502
0.495216,0.008248297557779187
0.49521699999999996,0.008358198105570858
0.495218,0.008469550466084998
0.49521899999999996,0.008582373482738843
0.49522,0.008696686234555518
0.49522099999999997,0.008812508038816967
0.495222,0.00892985845384212
0.49522299999999997,0.009048757281687206
0.495224,0.009169224570974096
0.49522499999999997,0.00929128061963813
0.495226,0.009414945977806661
0.495227,0.009540241450594383
0.495228,0.009667188101032119
0.495229,0.009795807252909506
0.49523,0.009926120493754045
0.495231,0.010058149677721052
0.495232,0.010191916928622766
0.495233,0.010327444642865304
0.495234,0.010464755492527773
