strength,checkpoint_z,time_since_fault_s,actual_z,vertical_speed_mps,horizontal_speed_mps,roll_deg,pitch_deg,r2
12000,0.6,0.6789047718048096,0.5990330576896667,0.13500525057315826,0.35771198763182693,4.236853122711182,3.3204641342163086,12000
12000,0.45,1.9189262390136719,0.44859132170677185,0.16479869186878204,0.04354127794383466,0.5441705584526062,0.18856777250766754,12000
12000,0.3,2.6790168285369873,0.2986021041870117,0.23561590909957886,0.033848054697529294,0.023095369338989258,0.14394858479499817,12000
12000,0.2,3.07989501953125,0.19875147938728333,0.27254557609558105,0.021867914888139037,0.1967761218547821,0.044804975390434265,12000
12000,0.1,3.4189229011535645,0.09865939617156982,0.311410516500473,0.020402935803211508,0.08127492666244507,0.0018392768688499928,12000
12000,0.05,3.5788536071777344,0.047193605452775955,0.3283621370792389,0.01959102881052128,0.05995743349194527,0.043282024562358856,12000
12000,0.03,3.639963388442993,0.026710165664553642,0.33670106530189514,0.019051941286387493,0.06175675615668297,0.057996440678834915,12000
14000,0.6,1.0668580532073975,0.598550021648407,0.09933605790138245,0.22565132450490563,-0.5374181866645813,0.8735736608505249,14000
14000,0.45,3.6540539264678955,0.44940683245658875,0.2964663803577423,0.03824531413729799,-0.1202298253774643,0.10984433442354202,14000
14000,0.3,4.072926044464111,0.29851508140563965,0.4146156907081604,0.044422799332722446,-0.46587449312210083,-0.23142342269420624,14000
14000,0.2,4.293022394180298,0.19972063601016998,0.47744712233543396,0.042718102418043316,-0.5353566408157349,-0.05041936784982681,14000
14000,0.1,4.495213985443115,0.09942623227834702,0.5234260559082031,0.0364156246378405,-0.43686291575431824,0.004593409597873688,14000
14000,0.05,4.5951292514801025,0.045433443039655685,0.5495740175247192,0.034474897375766166,-0.38982918858528137,-0.019788553938269615,14000
14000,0.03,4.63406777381897,0.02264074608683586,0.5596734285354614,0.03399644122630055,-0.37856724858283997,-0.03576106205582619,14000
