condition_id,controller,motor,eta,candidate,r1,r2,r3,r4,n_expected,n_present,valid_prefault_count,contact_count,policy_match_count,unique_candidates,safe_count,safe_rate,wilson95_lower,wilson95_upper,vertical_fail,horizontal_fail,tilt_fail,angular_fail,drift_fail,mean_vertical_speed_mps,max_vertical_speed_mps,mean_angular_rate_radps,max_angular_rate_radps
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,30,30,30,30,30,1,1,0.03333333333333333,0.005908590381612455,0.16670390991409173,0,0,0,29,0,0.23295237173636754,0.24701975286006927,1.5350703832768657,1.5738286621713555
fixed_opp_m4_11000,manual,2,0.499675,opp_m4_11000,0,0,0,11000,30,30,30,30,30,1,27,0.9,0.7437891742081593,0.9654001112526658,0,0,0,3,0,0.20939645717541377,0.24386444687843323,1.478428849688894,1.5216598631294327
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,30,30,30,30,30,1,30,1.0,0.8864866068260312,0.9999999999999999,0,0,0,0,0,0.20713709493478139,0.23330813646316528,1.436925411034714,1.468776356034974
