condition_id,controller,motor,eta,expected_candidate,expected_r1,expected_r2,expected_r3,expected_r4,trial_index,trial_seed,protocol_id
fixed_opp_m4_11000,manual,2,0.499675,opp_m4_11000,0,0,0,11000,23,63000023,seeded_ic_v1
fixed_opp_m4_11000,manual,2,0.499675,opp_m4_11000,0,0,0,11000,24,63000024,seeded_ic_v1
fixed_opp_m4_11000,manual,2,0.499675,opp_m4_11000,0,0,0,11000,25,63000025,seeded_ic_v1
fixed_opp_m4_11000,manual,2,0.499675,opp_m4_11000,0,0,0,11000,26,63000026,seeded_ic_v1
fixed_opp_m4_11000,manual,2,0.499675,opp_m4_11000,0,0,0,11000,27,63000027,seeded_ic_v1
fixed_opp_m4_11000,manual,2,0.499675,opp_m4_11000,0,0,0,11000,28,63000028,seeded_ic_v1
fixed_opp_m4_11000,manual,2,0.499675,opp_m4_11000,0,0,0,11000,29,63000029,seeded_ic_v1
fixed_opp_m4_11000,manual,2,0.499675,opp_m4_11000,0,0,0,11000,30,63000030,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,1,63000001,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,2,63000002,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,3,63000003,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,4,63000004,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,5,63000005,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,6,63000006,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,7,63000007,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,8,63000008,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,9,63000009,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,10,63000010,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,11,63000011,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,12,63000012,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,13,63000013,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,14,63000014,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,15,63000015,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,16,63000016,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,17,63000017,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,18,63000018,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,19,63000019,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,20,63000020,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,21,63000021,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,22,63000022,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,23,63000023,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,24,63000024,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,25,63000025,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,26,63000026,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,27,63000027,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,28,63000028,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,29,63000029,seeded_ic_v1
fixed_opp_m4_10000,manual,2,0.499675,opp_m4_10000,0,0,0,10000,30,63000030,seeded_ic_v1
