condition_index,condition_id,parameter,factor,bracket_low,bracket_high,eta_index,controller,motor,eta,rep,trial_seed,protocol_id,ofat_protocol_id
1,mass_minus10,mass,0.90,0.44375000,0.45000000,2,pinv,2,0.44479167,11,63300011,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,2,pinv,2,0.44479167,12,63300012,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,2,pinv,2,0.44479167,13,63300013,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,2,pinv,2,0.44479167,14,63300014,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,2,pinv,2,0.44479167,15,63300015,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,2,pinv,2,0.44479167,16,63300016,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,2,pinv,2,0.44479167,17,63300017,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,2,pinv,2,0.44479167,18,63300018,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,2,pinv,2,0.44479167,19,63300019,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,2,pinv,2,0.44479167,20,63300020,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,2,pinv,2,0.44479167,21,63300021,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,2,pinv,2,0.44479167,22,63300022,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,2,pinv,2,0.44479167,23,63300023,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,2,pinv,2,0.44479167,24,63300024,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,2,pinv,2,0.44479167,25,63300025,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,2,pinv,2,0.44479167,26,63300026,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,2,pinv,2,0.44479167,27,63300027,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,2,pinv,2,0.44479167,28,63300028,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,2,pinv,2,0.44479167,29,63300029,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,2,pinv,2,0.44479167,30,63300030,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,1,63300001,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,2,63300002,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,3,63300003,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,4,63300004,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,5,63300005,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,6,63300006,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,7,63300007,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,3,pinv,2,0.44583333,8,63300008,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
