condition_id,parameter,factor,controller,motor,eta,n_expected,n_present,valid_prefault_count,contact_count,safe_count,safe_rate,vertical_fail,horizontal_fail,tilt_fail,angular_fail,drift_fail,mean_vertical_speed_mps,max_vertical_speed_mps,mean_angular_rate_radps,max_angular_rate_radps
motor_time_constant_minus10,motor_time_constant,0.90,pinv,2,0.49375000,30,30,30,30,0,0.0,30,0,0,0,0,0.4232458084821701,0.43469950556755066,0.408109983969046,0.4235700970141583
motor_time_constant_minus10,motor_time_constant,0.90,pinv,2,0.49479167,30,30,30,30,0,0.0,30,0,0,0,0,0.3828455696503321,0.3936649560928345,0.3594880342665914,0.3721384066062932
motor_time_constant_minus10,motor_time_constant,0.90,pinv,2,0.49583333,30,30,30,30,30,1.0,0,0,0,0,0,0.3369159191846848,0.3493581712245941,0.3070388594963383,0.3215479827139114
motor_time_constant_minus10,motor_time_constant,0.90,pinv,2,0.49687500,30,30,30,30,30,1.0,0,0,0,0,0,0.2871863236029943,0.2979685664176941,0.2498646407652133,0.2569706005050922
motor_time_constant_minus10,motor_time_constant,0.90,pinv,2,0.49791667,30,30,30,30,30,1.0,0,0,0,0,0,0.22146683384974797,0.23116423189640045,0.17940253213269894,0.1928167666033537
motor_time_constant_minus10,motor_time_constant,0.90,pinv,2,0.49895833,30,30,30,30,30,1.0,0,0,0,0,0,0.12038880338271458,0.13862837851047516,0.09018475773742371,0.10335010413960803
motor_time_constant_minus10,motor_time_constant,0.90,pinv,2,0.50000000,30,30,30,30,30,1.0,0,0,0,0,0,0.0823962206641833,0.08746042102575302,0.03220347454613266,0.10972889454283909
motor_time_constant_plus10,motor_time_constant,1.10,pinv,2,0.49375000,30,30,30,30,5,0.16666666666666666,25,0,0,0,0,0.3818237503369649,0.4328914284706116,0.4052028104276263,0.432557381350607
motor_time_constant_plus10,motor_time_constant,1.10,pinv,2,0.49479167,30,30,30,30,0,0.0,30,0,0,0,0,0.38205426235993706,0.3976774513721466,0.3579205511657802,0.36968892670481157
motor_time_constant_plus10,motor_time_constant,1.10,pinv,2,0.49583333,30,30,30,30,29,0.9666666666666667,1,0,0,0,0,0.3380105793476105,0.3509100675582886,0.3081042725403995,0.31922482352456144
motor_time_constant_plus10,motor_time_constant,1.10,pinv,2,0.49687500,30,30,30,30,30,1.0,0,0,0,0,0,0.2868020613988241,0.296690434217453,0.24902976792597464,0.2620659188038267
motor_time_constant_plus10,motor_time_constant,1.10,pinv,2,0.49791667,30,30,30,30,30,1.0,0,0,0,0,0,0.22335518250862757,0.23691770434379578,0.18021096411094925,0.18855513879126556
motor_time_constant_plus10,motor_time_constant,1.10,pinv,2,0.49895833,30,30,30,30,30,1.0,0,0,0,0,0,0.12358936046560605,0.15143588185310364,0.09020999653449857,0.1097437889521269
motor_time_constant_plus10,motor_time_constant,1.10,pinv,2,0.50000000,30,30,30,30,30,1.0,0,0,0,0,0,0.08188535571098328,0.08277694135904312,0.005949649168853275,0.01601443081164017
thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,pinv,2,0.49375000,30,30,30,30,0,0.0,30,0,0,0,0,0.4273026247819265,0.43576276302337646,0.39364679266084646,0.39926883379313804
thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,pinv,2,0.49479167,30,30,30,30,0,0.0,30,0,0,0,0,0.383788072069486,0.3955545425415039,0.34527374376337,0.3526362411284517
thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,pinv,2,0.49583333,30,30,30,30,27,0.9,3,0,0,0,0,0.3391309281190236,0.35328248143196106,0.2970808935262468,0.3110654544568862
thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,pinv,2,0.49687500,30,30,30,30,30,1.0,0,0,0,0,0,0.2887214203675588,0.30134591460227966,0.24024343014563262,0.255672561694524
thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,pinv,2,0.49791667,30,30,30,30,30,1.0,0,0,0,0,0,0.22525910586118697,0.23698760569095612,0.1758655642784686,0.1874901630288973
thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,pinv,2,0.49895833,30,30,30,30,30,1.0,0,0,0,0,0,0.12085398783286412,0.1628440022468567,0.08879174060749347,0.11506900945983686
thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,pinv,2,0.50000000,30,30,30,30,30,1.0,0,0,0,0,0,0.08181995525956154,0.08284888416528702,0.005728451335918799,0.019237303385150974
thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,pinv,2,0.49375000,30,30,30,30,0,0.0,30,0,0,0,0,0.42122283577919006,0.429667204618454,0.42087945712461006,0.4342450613476122
